taxon,trnK.matK,ndhF,rps16,atpB.rbcL,psbA.trnH,rpl32.trnL,trnL.trnF
Typha_sp.,AM114723.1,U79230.2,HQ913894.1,JF280747.1,HQ913730.1,HQ913817.1,JF319452.1
Abromeitiella_lorentziana,NA,AY438598.1,NA,NA,NA,NA,NA
Acanthostachys_strobilacea,AY950021.1,HQ895726.1,HQ913823.1,JF280677.1,HQ913648.1,HQ913736.1,AF188765.1
Aechmea_bromeliifolia,GU475466.1,HQ895727.1,HQ913824.1,JF280678.1,HQ913649.1,HQ913737.1,HQ882707.1
Aechmea_drakeana,AY950043.1,HQ895728.1,HQ913825.1,JF280679.1,HQ913650.1,HQ913738.1,AF188772.1
Aechmea_haltonii,AF539960.2,L75844.1,HQ913826.1,JF280680.1,HQ913651.1,HQ913739.1,HQ882708.1
Aechmea_lingulata,JN202223.1,HQ895729.1,HQ913827.1,JF280681.1,HQ913652.1,HQ913740.1,HQ882709.1
Aechmea_nudicaulis,AY614024.1,NA,AY614146.1,AY614390.1,HQ913653.1,HQ913741.1,AY614268.1
Aechmea_organensis,JF295090.1,HQ895730.1,HQ913829.1,JF280682.1,HQ913654.1,HQ913742.1,HQ882710.1
Aechmea_racinae,JF295089.1,HQ895731.1,HQ913830.1,JF280683.1,HQ913655.1,HQ913743.1,DQ084691.1
Aechmea_sphaerocephala,AY950045.1,NA,HQ913842.1,JF280696.1,HQ913670.1,HQ913758.1,AF188770.1
Alcantarea_duarteana,AY614031.1,HQ895732.1,AY614153.1,AY614397.1,HQ913656.1,HQ913744.1,HQ882711.1
Ananas_ananassoides,AF162227.2,L75845.1,HQ913831.1,JF280684.1,HQ913657.1,HQ913745.1,HQ882712.1
Ananas_nanus,AY950054.1,HQ895733.1,HQ913832.1,JF280685.1,HQ913658.1,HQ913746.1,DQ084695.1
Andrea_selloana,JF295093.1,L75894.1,HQ913852.1,JF280706.1,HQ913680.1,HQ913768.1,HQ882743.1
Araeococcus_goeldianus,AY950002.1,HQ895734.1,HQ913833.1,JF280686.1,HQ913659.1,HQ913747.1,FJ942942.1
Araeococcus_pectinatus,AF539961.2,NA,HQ913834.1,JF280687.1,HQ913660.1,HQ913748.1,HQ882713.1
Billbergia_decora,AY950050.1,HQ895735.1,HQ913835.1,JF280688.1,HQ913661.1,HQ913749.1,DQ084698.1
Billbergia_macrolepis,NA,L75858.1,NA,NA,NA,NA,NA
Brewcaria_reflexa,HQ900680.1,AY208982.1,HQ913836.1,JF280689.1,HQ913662.1,HQ913750.1,HQ882714.1
Brocchinia_acuminata,AF162228.2,L75859.1,AF537871.1,JF280690.1,HQ913663.1,HQ913751.1,HQ882715.1
Brocchinia_micrantha,AF162229.1,NA,AF537872.1,NA,NA,NA,NA
Brocchinia_paniculata,NA,AY208981.1,NA,NA,NA,NA,NA
Brocchinia_prismatica,HQ900681.1,AY438600.1,HQ913838.1,JF280691.1,HQ913664.1,HQ913752.1,HQ882716.1
Brocchinia_uaipanensis,HQ900682.1,AY438599.1,HQ913839.1,JF280692.1,HQ913665.1,HQ913753.1,HQ882717.1
Bromelia_chrysantha,AF539962.1,NA,AF537873.1,NA,NA,NA,NA
Bromelia_flemingii,FJ968170.1,HQ895736.1,FJ968301.1,JF280693.1,HQ913666.1,HQ913754.1,HQ882718.1
Canistropsis_billbergioides,EU681903.1,HQ895737.1,HQ913840.1,JF280694.1,HQ913667.1,HQ913755.1,HQ882719.1
Canistrum_aurantiacum,JN202245.1,HQ895738.1,HQ913841.1,JF280695.1,HQ913668.1,HQ913756.1,HQ882720.1
Canistrum_giganteum,NA,L75861.1,NA,NA,NA,NA,NA
