species,habitat,tank,peltate_trichome,aquiferous_parenchima,photosynthesis,physio_type
Acanthostachys_strobilacea,non-terrestrial,present,non-differentiated,large,CAM,2
Aechmea_bromeliifolia,non-terrestrial,present,non-differentiated,small,CAM,2
Aechmea_haltonii,non-terrestrial,present,non-differentiated,absent,CAM,2
Aechmea_nudicaulis,non-terrestrial,present,non-differentiated,large,CAM,2
Alcantarea_duarteana,non-terrestrial,present,differentiated,large,C3,3
Ananas_ananassoides,terrestrial,absent,non-differentiated,small,CAM,1
Ananas_nanus,terrestrial,absent,non-differentiated,small,CAM,1
Brewcaria_reflexa,terrestrial,absent,non-differentiated,large,C3,-
Brocchinia_acuminata,non-terrestrial,absent,non-differentiated,absent,C3,3
Brocchinia_prismatica,non-terrestrial,absent,non-differentiated,absent,C3,3
Brocchinia_uaipanensis,non-terrestrial,absent,non-differentiated,absent,C3,3
Canistropsis_billbergioides,non-terrestrial,present,differentiated,large,CAM,2
Catopsis_floribunda,non-terrestrial,present,differentiated,NA,C3,3
Connellia_nutans,terrestrial,absent,non-differentiated,small,C3,0
Cottendorfia_florida,terrestrial,absent,non-differentiated,large,C3,0
Cryptanthus_beuckeri,terrestrial,absent,non-differentiated,large,CAM,1
Deinacanthon_urbanianum,terrestrial,absent,non-differentiated,large,CAM,0
Deuterocohnia_glandulosa,terrestrial,absent,non-differentiated,large,CAM,0
Deuterocohnia_longipetala,terrestrial,absent,non-differentiated,large,CAM,0
Deuterocohnia_lotteae,terrestrial,absent,non-differentiated,large,CAM,0
Dyckia_dawsonii,terrestrial,absent,non-differentiated,large,CAM,0
Dyckia_ferox,terrestrial,absent,non-differentiated,large,CAM,0
Edmundoa_perplexa,non-terrestrial,present,differentiated,NA,CAM,2
Fascicularia_bicolor,terrestrial,absent,non-differentiated,large,C3,1
Fosterella_penduliflora,terrestrial,absent,non-differentiated,large,C3,0
Glomeropitcairnia_penduliflora,non-terrestrial,present,differentiated,absent,C3,3
Hechtia_guatemalensis,terrestrial,absent,non-differentiated,large,CAM,0
Hechtia_lindmanioides,terrestrial,absent,non-differentiated,large,CAM,0
Lindmania_guianensis,terrestrial,absent,non-differentiated,absent,C3,0
Lindmania_longipes,terrestrial,absent,non-differentiated,absent,C3,0
Navia_phelsiae,terrestrial,absent,non-differentiated,large,C3,0
Navia_saxicola,terrestrial,absent,non-differentiated,large,C3,0
Navia_splendens,terrestrial,absent,non-differentiated,large,C3,0
Neoregelia_pineliana,non-terrestrial,present,differentiated,small,CAM,2
Pitcairnia_carinata,terrestrial,absent,non-differentiated,absent,C3,0
Pitcairnia_corallina,terrestrial,absent,non-differentiated,absent,C3,0
Pitcairnia_feliciana,terrestrial,absent,non-differentiated,absent,C3,0
Pitcairnia_heterophylla,terrestrial,absent,non-differentiated,absent,C3,0
Pitcairnia_hirtzii,terrestrial,absent,non-differentiated,absent,C3,0
Puya_laxa,terrestrial,absent,differentiated,large,CAM,0
Puya_raimondii,terrestrial,absent,differentiated,large,C3,0
Quesnelia_quesneliana,terrestrial,present,non-differentiated,NA,CAM,2
Tillandsia_complanata,non-terrestrial,absent,differentiated,large,C3,4
Tillandsia_usneoides,terrestrial,absent,differentiated,absent,CAM,4
Tillandsia_utriculata,terrestrial,absent,differentiated,NA,CAM,4
Vriesea_glutinosa,terrestrial,present,differentiated,large,C3,3
Vriesea_malzinei,terrestrial,present,differentiated,large,C3,3
Werauhia_viridiflora,terrestrial,present,non-differentiated,absent,C3,3
Wittrockia_superba,terrestrial,present,differentiated,large,CAM,2
