"locus","n","seqLength","bestModel"
"atpB.rbcL",91,350,"TVM+G(4)+I"
"ndhF",88,743,"TVM+G(4)+I"
"psbA.trnH",87,131,"TPM1u+G(4)+I"
"rpl32.trnL",91,523,"TVM+G(4)"
"rps16",108,371,"TIM1+G(4)"
"trnK.matK",107,473,"TPM1u+G(4)+I"
"trnL.trnF",91,487,"TPM1u+G(4)"
